"cycleday","no_bleeding_reported","spotting","light_bleeding","medium_bleeding","heavy_bleeding"
-15,0.708646648091577,0.0103226023028635,0.00527040182617745,0.00267576398446854,0.00135256862152696
-14,0.699733962200812,0.00952392941466089,0.00424653395548693,0.00236944285922097,0.00106862712186825
-13,0.680175568162745,0.00863713675070216,0.00354996810903354,0.00207011536696991,0.00089658375015386
-12,0.656521702641915,0.00834060671164971,0.00296110421072655,0.0016812693723634,0.000814058880794924
-11,0.633207727684716,0.00823710094330122,0.00274570031443374,0.00144628330368033,0.000718945472042253
-10,0.612863249297839,0.00856300424093905,0.00211487461814764,0.001049044949478,0.000461579777770318
-9,0.595993207783634,0.00903017892510658,0.00174141461613347,0.000674186220864525,0.000230789888885159
-8,0.582110846285542,0.0101141920395672,0.00134557498853044,0.00036087146262043,0.000125885393937359
-7,0.570375530117381,0.0123269775196661,0.0010518424026766,0.000215403896292815,9.09172289547596e-05
-6,0.559431893204427,0.0159133125202815,0.000853223225575436,0.000166448465317175,0.0001049044949478
-5,0.550096791880672,0.0228733760784182,0.000836438506383788,0.000183233184508823,0.000169245918515783
-4,0.541126758199335,0.0345079839314288,0.00114136090503206,0.000265758053867759,0.000188828090906039
-3,0.524674935938322,0.0554860854677901,0.00165888974677454,0.000307719851846879,0.000169245918515783
-2,0.495086273456645,0.0949413653809572,0.00260023274810612,0.000401434534000246,0.000198619177101167
-1,0.426692738930478,0.195392314836573,0.00584108227869348,0.000865811764969172,0.000454586144773798
1,0.0103785513668356,0.0060578849015856,0.414638513097676,0.334813186075397,0.234111864558506
2,0.020259156064319,0.00611243523895845,0.109700728456813,0.371595499457294,0.456761164635716
3,0.0341624984614007,0.0202549598845211,0.24794946680542,0.439893920574709,0.206667449953562
4,0.0795301957098258,0.0732611030917453,0.439586200722862,0.262135351975561,0.0574736759654011
5,0.18494802331957,0.136310103281972,0.403587174236575,0.0996270994886256,0.0195444067720747
6,0.358195698635962,0.136381438338537,0.216124240491457,0.0310964897557264,0.00814758244094576
7,0.501643503754182,0.0812674141461613,0.0881155795763537,0.0112989134691777,0.00378495417771661
8,0.582007340517193,0.0404469770720736,0.0308335291550572,0.00516269987803104,0.0017875725939105
9,0.621022021551579,0.0217977553235534,0.0129578032159522,0.00271912450904696,0.000956728993923932
10,0.647485928810411,0.0150195262233263,0.00681179853861045,0.00154419416563161,0.000640616782481229
11,0.66865006098448,0.0127731713048441,0.00399895934741012,0.00089658375015386,0.000462978504369622
12,0.686241845423926,0.012648684637506,0.00170504772455157,0.000461579777770318,0.000229391162285855
13,0.695172714760482,0.012694842615283,0.00127563865856524,0.000349681649825998,0.000204214083498383
14,0.698058287734846,0.0124290845614153,0.00106303221547104,0.000269954233665671,0.000172043371714391
15,0.690119115557197,0.0120584220125997,0.000918963375742724,0.000237783521881679,0.000145467566327615
