"cycleday","Nothing","Sticky - little","Sticky - medium","Sticky - lots","Creamy - little","Creamy - medium","Creamy - lots","Eggwhite - little","Eggwhite - medium","Eggwhite - lots","Watery - little","Watery - medium","Watery - lots"
-28,0.028840343751049,0.00885254064699498,0.00296390166392516,0.000657401501672877,0.00849446663757315,0.00465216466928508,0.00136935334071861,0.00318350174001589,0.00184352165788266,0.000755312363624157,0.00406749695077601,0.00200997012319984,0.000835039779784484
-27,0.0360675640896528,0.0109548267257489,0.00358353754741683,0.000830843599986572,0.0103547730146475,0.00575436122953663,0.00168546555216131,0.00378495417771661,0.00227013327067038,0.000842033412781004,0.00495428961473475,0.00240860720400148,0.00102386787069052
-26,0.0444305504268914,0.0141369297391655,0.00460740541810736,0.00104764622287869,0.0129927713809348,0.00715308782884062,0.00213026061073998,0.00477105643022592,0.00279465574540938,0.00103925386328287,0.00598654984502109,0.00301985072789732,0.00110499401345016
-25,0.0538467778934058,0.0181722559781575,0.00576555104233106,0.00136655588752,0.0167315675808744,0.00915886177224255,0.00257785312251726,0.00590961988205937,0.00341988653529826,0.0012616513925722,0.00751675674465966,0.00358493627401614,0.00149104255485806
-24,0.0637819329282621,0.0233223673167948,0.00724400505779538,0.00172602862354113,0.0211501449080757,0.0116457976658051,0.00323805207738875,0.00775593899314064,0.00425912249488066,0.00159314959660725,0.00963442881600591,0.00457803215952197,0.00175680060872582
-23,0.0723267537234102,0.0290179820291607,0.00933090514395694,0.00219879821410588,0.0271870489106717,0.0148810522899952,0.00433185627804447,0.0101953181823268,0.00572358924435194,0.00216103259592467,0.0121549341479517,0.00614180849754384,0.00227432945046829
-22,0.076374668501796,0.0349625700762026,0.0117674868799445,0.00265058690568107,0.0343751049044949,0.0195374131390782,0.00549699553526469,0.0135620531068515,0.00793217854465295,0.00307020488547227,0.0154587263755077,0.0078104893305135,0.00288137679456623
-21,0.075086441303837,0.0400147705528886,0.0137354952051652,0.00337232983092193,0.0419268298141372,0.0246889232043148,0.00698524063692414,0.0185722917855584,0.0115101211856726,0.00460460796490875,0.0189653339599628,0.0103240010294628,0.00385069432788389
-20,0.067393445007665,0.0417477928094263,0.0157594525943581,0.00397657972182125,0.0480994102968657,0.0307789788176844,0.00870007944767084,0.0257211834346011,0.0180673514832097,0.00779510333792116,0.0229041480636029,0.013715913032775,0.00529697763156422
-19,0.0559350767061667,0.0402847247865543,0.0167861179182472,0.00473329081204471,0.0507122315843656,0.0356857117280428,0.0108960802085781,0.0345065852048295,0.0281787460695783,0.0134151868139246,0.0271171125807065,0.0182925464656976,0.00779650206452046
-18,0.0433479360390301,0.0360144124788792,0.0169078071323867,0.0051836807770206,0.0498254389204069,0.0391741358667069,0.0131298465876666,0.0434822137925632,0.0419743865185135,0.0234930119619099,0.0313104949254199,0.024248324325534,0.0118444168429062
-17,0.0327064240715253,0.0299621224836908,0.0161329125963723,0.0057795383083241,0.0457957075878121,0.0395531907751183,0.0143775107142458,0.050805946266519,0.0571239943155751,0.0362955565253393,0.0359696532277015,0.031959504067497,0.0181484776259693
