"cycleday","f","F","s","No"
-28,0.0282985762983758,0.00538901142971727,0.00313314618006818,0.0670242630840184
-27,0.0359183878083016,0.00671746541006617,0.00360938439943854,0.0898335672749148
-26,0.0449418488068979,0.00869761379586926,0.00458692600761981,0.121691397633848
-25,0.060983557248847,0.0117054341287347,0.00543914176859836,0.160442149588931
-24,0.0842189693202326,0.0153900140364949,0.00666733507118508,0.209870663725687
-23,0.115750952476439,0.0203529175857229,0.00812111489873672,0.270152396230199
-22,0.161043713655504,0.031156005614598,0.00990074192901544,0.320533386805695
-21,0.216111890916383,0.0468217365149388,0.0114798476037698,0.353268498095047
-20,0.274288149187889,0.0747944656105875,0.0126579105674754,0.35387006216162
-19,0.323240425105274,0.124047523561259,0.0156657309003409,0.317224784439543
-18,0.35066172047323,0.187612793262482,0.0204531782634851,0.26837276919992
-17,0.345999598957289,0.263234409464608,0.0286494886705434,0.221350511329457
-16,0.319229997994786,0.325571485863244,0.0444906757569681,0.189091638259475
-15,0.278173250451173,0.350787046320433,0.0759975937437337,0.184028474032484
-14,0.236740525365951,0.314442550631642,0.128534188891117,0.209068578303589
-13,0.192224784439543,0.242054341287347,0.197363144174855,0.250426107880489
-12,0.149162823340686,0.160968518147183,0.261555043112091,0.288224383396832
-11,0.106702426308402,0.100310808101063,0.292310006015641,0.310983557248847
-10,0.0733406857830359,0.0641668337677963,0.287497493483056,0.31389111690395
-9,0.0516593142169641,0.0377481451774614,0.263510126328454,0.297022257870463
-8,0.0385502305995589,0.0238871064768398,0.231000601564067,0.274238018849007
-7,0.02895027070383,0.0161169039502707,0.193127130539402,0.250827150591538
-6,0.0237367154601965,0.0110537397232805,0.163525165430118,0.228719671144977
-5,0.0197262883497092,0.00689292159614999,0.14154301183076,0.210672749147784
-4,0.0169691197112492,0.00481251253258472,0.124799478644476,0.195658712652898
-3,0.0145377982755163,0.00398536194104672,0.108131140966513,0.183025867254863
-2,0.0141116903950271,0.00401042711048727,0.0903599358331662,0.16036695408061
-1,0.010752957689994,0.00340886304391418,0.0619109685181472,0.122217766192099
