"cycleday","o_closed","o_medium","o_open","f_firm","f_medium","f_soft","h_low","h_medium","h_high"
-28,0.00408987657636488,0.00369263822216254,0.00232328488144393,0.00450529837635816,0.00386188414067833,0.00223936128548569,0.00444095695279018,0.0036422840645876,0.0029429207649356
-27,0.0049389036221424,0.00449970346996095,0.00253868877773675,0.00520745912920877,0.00474867680463706,0.00262401110029429,0.00517668714402408,0.00440738751440688,0.00349401904506138
-26,0.0059893472982197,0.00531096489755726,0.00283382009018989,0.00636000984703526,0.00541307193930646,0.0031177615898486,0.00602011928340439,0.00523123748139694,0.00418219253191894
-25,0.00705657569348865,0.00637959201942551,0.00281983282419685,0.00735730191233901,0.00658800228272181,0.00321986863159779,0.00666912842548144,0.00625230789888885,0.00481301822820504
-24,0.00837837232983092,0.0074943771190708,0.00300866091510289,0.00851544753656271,0.0078790269338794,0.0036422840645876,0.0075992816140186,0.00734471337294527,0.00580471538711157
-23,0.00968618170018016,0.00892947060995669,0.00316391956762563,0.0096330300894066,0.00938965166112771,0.00405910459118019,0.00811261427596316,0.00893366678975461,0.00686215269618539
-22,0.0110135732429196,0.0105086329405709,0.00348982286526346,0.0107967706200275,0.0110919019324807,0.00472489845244889,0.00873644633925274,0.0107492139156512,0.0079503619904439
-21,0.0112010026072264,0.0125605648617499,0.00412204728814887,0.0111030917452751,0.0131116631418756,0.00550119171506261,0.00877001577763604,0.0124514641870042,0.00944699945169917
-20,0.0110079783365224,0.0142921883916882,0.00528438909217049,0.0111310662772612,0.0148376917654168,0.006515268499558,0.00852104244295993,0.0139928608994372,0.0111436548166549
-19,0.0101939194557275,0.0157258831559748,0.00703699352109839,0.0104820571351841,0.0163651012118567,0.00819234169212349,0.00783147022950306,0.0151691899694518,0.0131927892846353
-18,0.00855321315474392,0.0173414123781709,0.00964981480859825,0.00942601855270961,0.0177945997963454,0.0105883603567312,0.00710273367126568,0.0159314959660725,0.016113330423982
-17,0.00705237951369074,0.0172896594939967,0.0135564582004543,0.00811960790895968,0.01792608009668,0.0140376201506149,0.00639637673861716,0.0157874271263442,0.0193653697673638
-16,0.00598375239182249,0.0166602325243099,0.0169595600165609,0.00720344198641557,0.0175316391956763,0.0170994326764913,0.006022916736603,0.0152237403068247,0.0221810064117627
-15,0.00546622355008001,0.0152936766367899,0.0193681672205624,0.00647610415477749,0.016527353497376,0.019196123848848,0.0058494746382893,0.0143705170812492,0.0235951190036591
-14,0.00612362505175288,0.0148097172334307,0.0182351986751262,0.00716008146183714,0.0157622500475567,0.0184268242192308,0.00622013718710486,0.0140138417984267,0.0225278906083901
-13,0.00819374041872279,0.0144712253963991,0.0147034140118836,0.00884974319379637,0.0155902066758423,0.0150656842011033,0.00739926371031813,0.0141285373795696,0.0192618639990153
-12,0.0104233106180134,0.0137271028455694,0.0105477972853514,0.0110527375877002,0.0143495361822597,0.0112919198361811,0.00881757248201238,0.0135676480132487,0.0152740944643996
-11,0.0125941343001332,0.0120933901775823,0.00708035404567682,0.0129969675607327,0.0127046337014782,0.0080552664853917,0.00999250282542773,0.0127242158738684,0.0119633086038471
-10,0.0142236507883223,0.0102204952611143,0.00484798639318764,0.0143159667438764,0.0110191681493169,0.00586486063088165,0.0106960623048776,0.0115744626092405,0.00965680844159477
-9,0.0153090626293822,0.00882316738840959,0.00333036803294281,0.0152768919175982,0.00957148611903723,0.00445354549218392,0.011235970772209,0.0104345004308078,0.00819793659852071
-8,0.0159203061532781,0.00757130708203252,0.00241280338379939,0.0156643391856054,0.00849586536417246,0.0035737464612217,0.0113240905479651,0.00965960589479338,0.00734191591974666
-7,0.0163720948448532,0.00660338827531415,0.00195122360602907,0.0159510781384627,0.00766362303758658,0.00310517305045487,0.0112024013338257,0.0089994069399219,0.00698803809012275
-6,0.0161231215101771,0.0060928530665682,0.0015777636040149,0.0156265735674242,0.00710692985106359,0.00284500990298432,0.011139458636857,0.00832661944565667,0.00662297044770441
-5,0.0161105329707834,0.0057431714167422,0.00146726420266989,0.0154083722179328,0.00694048138574642,0.00265897926527689,0.0109925923439301,0.0079503619904439,0.00666353351908423
-4,0.0156699340920026,0.00569981089216377,0.00136655588752,0.0148265019526223,0.0069362852059485,0.00278206720601564,0.0106163348887173,0.0077741224389316,0.00674885584164177
-3,0.0150237224031242,0.00590542370226146,0.00138334060671165,0.0142292456947195,0.00692369666655477,0.00284500990298432,0.0103128112166683,0.00757550326183043,0.00676983674063133
-2,0.0138767665916949,0.00644113598979489,0.00159874450300446,0.0132487383486074,0.00721463179921,0.00310657177705417,0.0101309767587588,0.00736429554533553,0.00678941891302158
-1,0.0116024371412266,0.0067600456544362,0.00201276757639845,0.0113772421587387,0.00707056295948169,0.00350940503765372,0.00957708102543444,0.00672647621605291,0.00631804804905614
