"confidence_score","fraction_of_cycles"
0,0.00802085422097453
0.05,0.00451173049929817
0.1,0.00250651694405454
0.15,0.00802085422097454
0.2,0.0100260677762182
0.25,0.0125325847202727
0.3,0.0190495287748145
0.35,0.0360938439943854
0.4,0.0581511931020654
0.45,0.0731902947663926
0.5,0.108281531983156
0.55,0.197513535191498
0.6,0.39703228393824
0.65,0.891818728694605
0.7,0.578504110687789
0.75,1.03218367756166
0.8,1.415680770002
0.85,2.31401644275116
0.9,3.73420894325245
0.95,7.22779225987569
1,1.8708642470423
