"duration","cycle_length","estimated_ovulation","estimated_luteal_phase","cycle_length_avoid_preg","cycle_length_seek_preg","estimated_ovulation_avoid_preg","estimated_ovulation_seek_preg","estimated_luteal_phase_avoid_preg","estimated_luteal_phase_seek_preg"
1,0,0,0,0,0,0,0,4.95810402102236e-05,0
2,0,0,0.000174779341081884,0,0,0,0,0,0
3,0,0,0.00113606571703225,0,0,0,0,0.000297486241261342,0.000253164556962025
4,0,0,0.00209735209298261,0,0,0,0,0.00143785016609648,0.00177215189873418
5,0,8.73896705409421e-05,0.00524338023245652,0,0,0,0,0.00376815905597699,0.00278481012658228
6,0,0.000699117364327537,0.0103993707943721,0,0,0,0,0.00520600922207348,0.00556962025316456
7,0,0.00288385912785109,0.0147688543214192,0,0,0.000347067281471565,0,0.010412018444147,0.0106329113924051
8,0,0.0066416149611116,0.0262169011622826,0,0,0.00158659328672716,0.00227848101265823,0.0203282264861917,0.0243037974683544
9,0,0.0169535960849428,0.045180459669667,0,0,0.00813129059447667,0.00405063291139241,0.0372849422380882,0.0478481012658228
10,0,0.030236826007166,0.067814384339771,0,0,0.0247409390649016,0.0131645569620253,0.067182309484853,0.0865822784810127
11,0,0.048326487809141,0.106353229048326,0,0.000253164556962025,0.0509197282958996,0.0286075949367089,0.120531508751054,0.138987341772152
12,0.000174779341081884,0.076902910076029,0.139473914183344,0,0,0.0877088601318856,0.0665822784810127,0.182656552134464,0.172911392405063
13,0.000262169011622826,0.103644149261557,0.15031023333042,9.91620804204472e-05,0,0.12861321830532,0.103544303797468,0.200654469730775,0.187088607594937
14,0.000524338023245652,0.110722712575374,0.141396486935244,4.95810402102236e-05,0.000253164556962025,0.146908622142893,0.131139240506329,0.163072041251425,0.146075949367089
15,0.000262169011622826,0.116665210172158,0.104430656296426,9.91620804204472e-05,0,0.134662105210967,0.124050632911392,0.096683028409936,0.0792405063291139
16,0.00157301406973696,0.103556759591016,0.0580267412391855,0.00054539144231246,0,0.110268233427537,0.12253164556962,0.0489860677277009,0.0334177215189873
17,0.00209735209298261,0.0845932010836319,0.0373153893209823,0.000644553522732907,0.000759493670886076,0.0865189151668402,0.1,0.0186424711190441,0.0177215189873418
18,0.00244691077514638,0.0681639430219348,0.0236826007165953,0.00123952600525559,0.00126582278481013,0.0641578660320293,0.0726582278481013,0.00847835787594824,0.00962025316455696
19,0.0027090797867692,0.0522590229834834,0.0131958402516823,0.00128910704546581,0.00126582278481013,0.0421438841786901,0.060253164556962,0.00347067281471565,0.00481012658227848
20,0.00428209385650616,0.0408983658131609,0.0103993707943721,0.00322276761366453,0.00430379746835443,0.0299469482869751,0.040253164556962,0.00267737617135207,0.00531645569620253
21,0.00585510792624312,0.0290133706195928,0.00559293891462029,0.00475977986018147,0.00430379746835443,0.0204769696068224,0.0283544303797468,0.0016857553671476,0.00329113924050633
22,0.0093506947478808,0.0228087040111859,0.00480643187975181,0.0122465169319252,0.00860759493670886,0.0145768258218057,0.0194936708860759,0.000892458723784025,0.00278481012658228
23,0.0232456523638906,0.0161670890500743,0.0049812112208337,0.0291040706034013,0.0189873417721519,0.0105607615647776,0.0187341772151899,0.000842877683573801,0.00126582278481013
24,0.0450056803285852,0.0130210609106004,0.00349558682163768,0.0588526947295354,0.0420253164556962,0.00892458723784025,0.0141772151898734,0.000396648321681789,0.0020253164556962
25,0.0761164030411605,0.00926330507733986,0.00174779341081884,0.0976250681739303,0.0843037974683544,0.00515642818186326,0.010126582278481,0.000644553522732907,0.00126582278481013
