"cycle_length_bin","cycle_length_bin_num","cycleday_from_ovu","state","n_cycles","prob_sum","prob"
"(18,21]",2,-19,"hM",721,6.00000000000007,0.00832177531206667
"(18,21]",2,-19,"lM",721,0,0
"(18,21]",2,-19,"lE",721,0,0
"(18,21]",2,-19,"hE",721,0,0
"(18,21]",2,-19,"O",721,0,0
"(18,21]",2,-19,"Rise",721,0,0
"(18,21]",2,-19,"hP",721,0,0
"(18,21]",2,-19,"Ep",721,0,0
"(18,21]",2,-19,"lP",721,0,0
"(18,21]",2,-18,"hM",3638,42.4813394567162,0.0116771136494547
"(18,21]",2,-18,"lM",3638,1.51866054328406,0.000417443799693254
"(18,21]",2,-18,"lE",3638,0,0
"(18,21]",2,-18,"hE",3638,0,0
"(18,21]",2,-18,"O",3638,0,0
"(18,21]",2,-18,"Rise",3638,0,0
"(18,21]",2,-18,"hP",3638,0,0
"(18,21]",2,-18,"Ep",3638,0,0
"(18,21]",2,-18,"lP",3638,0,0
"(18,21]",2,-17,"hM",5637,142.916597990001,0.0253533081408553
"(18,21]",2,-17,"lM",5637,16.0833422060998,0.00285317406530066
"(18,21]",2,-17,"lE",5637,5.98038994818625e-05,1.06091714532309e-08
"(18,21]",2,-17,"hE",5637,0,0
"(18,21]",2,-17,"O",5637,0,0
"(18,21]",2,-17,"Rise",5637,0,0
"(18,21]",2,-17,"hP",5637,0,0
"(18,21]",2,-17,"Ep",5637,0,0
"(18,21]",2,-17,"lP",5637,0,0
"(18,21]",2,-16,"hM",5879,321.575204267171,0.0546989631344057
"(18,21]",2,-16,"lM",5879,50.5384022233908,0.00859642834213145
"(18,21]",2,-16,"lE",5879,2.88638817790314,0.000490965840772775
"(18,21]",2,-16,"hE",5879,5.33153534280309e-06,9.06877928695882e-10
"(18,21]",2,-16,"O",5879,0,0
"(18,21]",2,-16,"Rise",5879,0,0
"(18,21]",2,-16,"hP",5879,0,0
"(18,21]",2,-16,"Ep",5879,0,0
"(18,21]",2,-16,"lP",5879,0,0
"(18,21]",2,-15,"hM",5879,582.479255418624,0.0990779478514413
"(18,21]",2,-15,"lM",5879,156.633123505163,0.0266428174017967
"(18,21]",2,-15,"lE",5879,8.88895867445684,0.00151198480599708
"(18,21]",2,-15,"hE",5879,0.998662036605414,0.000169869371764826
"(18,21]",2,-15,"O",5879,3.65151810713828e-07,6.21112112117415e-11
"(18,21]",2,-15,"Rise",5879,0,0
"(18,21]",2,-15,"hP",5879,0,0
"(18,21]",2,-15,"Ep",5879,0,0
"(18,21]",2,-15,"lP",5879,0,0
"(18,21]",2,-14,"hM",5879,960.589710994736,0.163393385098611
"(18,21]",2,-14,"lM",5879,310.860343613113,0.052876397961067
"(18,21]",2,-14,"lE",5879,35.083410194103,0.00596758125431247
"(18,21]",2,-14,"hE",5879,3.46591155670857,0.000589541003012174
"(18,21]",2,-14,"O",5879,0.000623276186651122,1.06017381638225e-07
"(18,21]",2,-14,"Rise",5879,7.97669057436833e-08,1.35681077978709e-11
"(18,21]",2,-14,"hP",5879,2.85384904970146e-07,4.85431034138707e-11
"(18,21]",2,-14,"Ep",5879,0,0
"(18,21]",2,-14,"lP",5879,0,0
"(18,21]",2,-13,"hM",5879,1552.73995264878,0.264116338263103
"(18,21]",2,-13,"lM",5879,572.548138189316,0.0973886950483613
"(18,21]",2,-13,"lE",5879,84.6783785977516,0.0144035343762122
"(18,21]",2,-13,"hE",5879,8.02119578189169,0.00136438098008023
"(18,21]",2,-13,"O",5879,0.0117111409166291,1.99202941259212e-06
"(18,21]",2,-13,"Rise",5879,0.000100864636352922,1.71567675374931e-08
"(18,21]",2,-13,"hP",5879,0.000522698662160711,8.89094509543649e-08
"(18,21]",2,-13,"Ep",5879,7.79379843570721e-08,1.32570138385902e-11
"(18,21]",2,-13,"lP",5879,1.019638466112e-10,1.73437398556217e-14
"(18,21]",2,-12,"hM",5879,2096.3734818628,0.356586746362103
"(18,21]",2,-12,"lM",5879,967.384872031091,0.164549221301427
"(18,21]",2,-12,"lE",5879,176.38572867694,0.0300026754000579
"(18,21]",2,-12,"hE",5879,17.7047490780709,0.00301152391190183
"(18,21]",2,-12,"O",5879,0.138833568826064,2.3615167345818e-05
"(18,21]",2,-12,"Rise",5879,0.00191155642731514,3.25149928102592e-07
"(18,21]",2,-12,"hP",5879,0.0102812783160437,1.74881413778596e-06
"(18,21]",2,-12,"Ep",5879,0.00013294189341876,2.26130112976289e-08
"(18,21]",2,-12,"lP",5879,9.00561831332637e-06,1.53182825537104e-09
"(18,21]",2,-11,"hM",5879,2199.77534566865,0.374175088564152
"(18,21]",2,-11,"lM",5879,1496.32020029442,0.254519510170849
"(18,21]",2,-11,"lE",5879,354.29799547439,0.0602650102865096
"(18,21]",2,-11,"hE",5879,38.025151703906,0.00646796252830516
"(18,21]",2,-11,"O",5879,0.430138507536298,7.31652504739409e-05
"(18,21]",2,-11,"Rise",5879,0.0423485944654299,7.20336697830071e-06
"(18,21]",2,-11,"hP",5879,0.105871591236109,1.800843531827e-05
"(18,21]",2,-11,"Ep",5879,0.00279384416562125,4.75224386055665e-07
"(18,21]",2,-11,"lP",5879,0.000154321213994891,2.62495686332524e-08
"(18,21]",2,-10,"hM",5879,2045.11635977662,0.347868065959622
"(18,21]",2,-10,"lM",5879,2018.94196063261,0.343415880359349
"(18,21]",2,-10,"lE",5879,652.710134692736,0.111024006581517
"(18,21]",2,-10,"hE",5879,67.5832461728128,0.0114957044008867
"(18,21]",2,-10,"O",5879,1.06699186658997,0.00018149206779894
"(18,21]",2,-10,"Rise",5879,0.147292612360335,2.50540248954474e-05
"(18,21]",2,-10,"hP",5879,0.39937166992679,6.79319050734462e-05
"(18,21]",2,-10,"Ep",5879,0.0292363164774758,4.97300841596799e-06
"(18,21]",2,-10,"lP",5879,0.00540625985285105,9.19588340338672e-07
"(18,21]",2,-9,"hM",5879,1668.54251898023,0.283814002207897
"(18,21]",2,-9,"lM",5879,2355.13256965866,0.400600879343199
"(18,21]",2,-9,"lE",5879,1145.89584100899,0.194913393605883
"(18,21]",2,-9,"hE",5879,121.98440485822,0.0207491758561354
"(18,21]",2,-9,"O",5879,2.79636676868481,0.000475653473156117
"(18,21]",2,-9,"Rise",5879,0.287590269003631,4.89182291212163e-05
"(18,21]",2,-9,"hP",5879,1.21423719516639,0.00020653804986671
"(18,21]",2,-9,"Ep",5879,0.131297664706358,2.23333329998908e-05
"(18,21]",2,-9,"lP",5879,0.0151735963310467,2.58098253632364e-06
"(18,21]",2,-8,"hM",5879,1219.07229102113,0.207360484950013
"(18,21]",2,-8,"lM",5879,2422.35572385373,0.412035333195056
"(18,21]",2,-8,"lE",5879,1776.1376324248,0.302115603406158
"(18,21]",2,-8,"hE",5879,207.964983834978,0.0353742105519609
"(18,21]",2,-8,"O",5879,8.02470337146493,0.00136497761038696
"(18,21]",2,-8,"Rise",5879,0.822692448274361,0.000139937480570567
"(18,21]",2,-8,"hP",5879,3.13970413770955,0.000534054114255749
"(18,21]",2,-8,"Ep",5879,0.440645211202478,7.49524087774244e-05
