"cycle_length_bin","cycleday_from_ovu","cycle_length_bin_num","state","prob","prob_sum","n_cycles"
"(42,45]",-40,10,"hM",0.00340136054421827,1.00000000000017,294
"(42,45]",-39,10,"hM",0.00336974072402045,0.990703772862013,294
"(42,45]",-38,10,"hM",0.00460763988627766,1.35464612656563,294
"(42,45]",-37,10,"hM",0.0083969017394582,2.46868911140071,294
"(39,42]",-36,9,"hM",0.00200803212851371,0.999999999999829,498
"(42,45]",-36,10,"hM",0.00520090435494448,1.52906588035368,294
"(39,42]",-35,9,"hM",0.000269146217911665,0.134034816520009,498
"(42,45]",-35,10,"hM",0.0155917374014115,4.58397079601498,294
"(36,39]",-34,8,"hM",0.00105708245243123,0.999999999999943,946
"(39,42]",-34,9,"hM",0.00606142048517901,3.01858740161915,498
"(42,45]",-34,10,"hM",0.0243617247768104,7.16234708438225,294
"(36,39]",-33,8,"hM",0.00104914733503458,0.992493378942715,946
"(39,42]",-33,9,"hM",0.0116688499591089,5.81108727963622,498
"(42,45]",-33,10,"hM",0.0478927770701487,14.0804764586237,294
"(36,39]",-32,8,"hM",0.00421303964299811,3.98553550227621,946
"(39,42]",-32,9,"hM",0.0273215328471277,13.6061233578696,498
"(42,45]",-32,10,"hM",0.0895325765650118,26.3225775101135,294
"(36,39]",-31,8,"hM",0.00781994293231201,7.39766601396716,946
"(39,42]",-31,9,"hM",0.0499708829694949,24.8854997188085,498
"(42,45]",-31,10,"hM",0.150692945334399,44.3037259283132,294
"(33,36]",-30,7,"hM",0.000976562500000028,2.00000000000006,2048
"(36,39]",-30,8,"hM",0.0120801008526855,11.4277754066405,946
"(39,42]",-30,9,"hM",0.0684021859965937,34.0642886263037,498
"(42,45]",-30,10,"hM",0.225482430114807,66.2918344537532,294
"(33,36]",-29,7,"hM",0.00175574169968297,3.59575900095071,2048
"(36,39]",-29,8,"hM",0.024992595896486,23.6429957180757,946
"(39,42]",-29,9,"hM",0.103672126286142,51.628718890499,498
"(42,45]",-29,10,"hM",0.250299548494703,73.5880672574427,294
"(33,36]",-28,7,"hM",0.00357422663966749,7.32001615803901,2048
"(36,39]",-28,8,"hM",0.0409267662585344,38.7167208805735,946
"(39,42]",-28,9,"hM",0.17526840341164,87.2836648989965,498
"(42,45]",-28,10,"hM",0.233184928499959,68.5563689789878,294
"(27,30]",-27,5,"hM",8.0256821829851e-05,0.999999999999943,12460
"(30,33]",-27,6,"hM",0.000376010528294795,2.00000000000001,5319
"(33,36]",-27,7,"hM",0.0124672648286417,25.5329583690582,2048
"(36,39]",-27,8,"hM",0.0746806196868811,70.6478662237896,946
"(39,42]",-27,9,"hM",0.237520652867981,118.285285128255,498
"(42,45]",-27,10,"hM",0.19132010626417,56.248111241666,294
"(27,30]",-26,5,"hM",6.90623606966433e-07,0.00860517014280175,12460
"(30,33]",-26,6,"hM",0.00263131003995119,13.9959381025004,5319
"(33,36]",-26,7,"hM",0.0207240416287404,42.4428372556604,2048
"(36,39]",-26,8,"hM",0.117789330577248,111.428706726076,946
"(39,42]",-26,9,"hM",0.252036824388645,125.514338545545,498
"(42,45]",-26,10,"hM",0.142807671107684,41.9854553056592,294
"(27,30]",-25,5,"hM",0.000642065690532995,8.00013850404111,12460
"(30,33]",-25,6,"hM",0.00325917734216216,17.3355642829605,5319
"(33,36]",-25,7,"hM",0.0318452994499462,65.2191732734898,2048
"(36,39]",-25,8,"hM",0.184446485956315,174.486375714674,946
"(39,42]",-25,9,"hM",0.239649818343251,119.345609534939,498
"(42,45]",-25,10,"hM",0.105602868150927,31.0472432363724,294
"(27,30]",-24,5,"hM",0.00096825708120084,12.0644832317625,12460
