"temperature_shifts","fraction_of_cycles"
0,0.499034797001563
0.1,0.00319185942057239
0.2,0.0199424318528457
0.3,0.0375244167689208
0.4,0.0672564917068994
0.5,0.0923632374246473
0.6,0.0892917894672462
0.7,0.0843052258575016
0.8,0.0506473549615257
0.9,0.0305845116455087
1,0.0129948815571687
1.1,0.00633211392835709
1.2,0.00247512452074326
1.3,0.0013703971284733
1.4,0.000705267141431864
1.5,0.000430040939897478
1.6,0.000326831114322083
1.7,0.000682331624637332
1.8,0.000290516546064074
1.9,0.000133790514634771
2,0.000116588877038872
