"group_name","tracking_freq","perc_of_cycles"
"no logged sex",0,0
"no logged sex",0.025,0
"no logged sex",0.05,0
"no logged sex",0.075,0
"no logged sex",0.1,0
"no logged sex",0.125,0
"no logged sex",0.15,0.01
"no logged sex",0.175,0.02
"no logged sex",0.2,0.08
"no logged sex",0.225,0.38
"no logged sex",0.25,0.99
"no logged sex",0.275,2.7
"no logged sex",0.3,3.58
"no logged sex",0.325,3.57
"no logged sex",0.35,3.33
"no logged sex",0.375,3.4
"no logged sex",0.4,2.93
"no logged sex",0.425,3.03
"no logged sex",0.45,2.76
"no logged sex",0.475,3.03
"no logged sex",0.5,1.89
"no logged sex",0.525,2.84
"no logged sex",0.55,2.55
"no logged sex",0.575,2.26
"no logged sex",0.6,2.12
"no logged sex",0.625,2.28
"no logged sex",0.65,2.1
"no logged sex",0.675,2.31
"no logged sex",0.7,2.2
"no logged sex",0.725,2.29
"no logged sex",0.75,2.45
"no logged sex",0.775,2.26
"no logged sex",0.8,2.38
"no logged sex",0.825,2.39
"no logged sex",0.85,3.02
"no logged sex",0.875,2.43
"no logged sex",0.9,3.01
"no logged sex",0.925,4.39
"no logged sex",0.95,2.85
"no logged sex",0.975,4.25
"no logged sex",1,17.92
"logged sex",0,0
"logged sex",0.025,0
"logged sex",0.05,0
"logged sex",0.075,0
"logged sex",0.1,0
"logged sex",0.125,0
"logged sex",0.15,0.01
"logged sex",0.175,0.02
"logged sex",0.2,0.06
"logged sex",0.225,0.2
"logged sex",0.25,0.47
"logged sex",0.275,1.24
"logged sex",0.3,1.78
"logged sex",0.325,1.95
"logged sex",0.35,2.07
"logged sex",0.375,2.28
"logged sex",0.4,2.1
"logged sex",0.425,2.31
"logged sex",0.45,2.17
"logged sex",0.475,2.47
"logged sex",0.5,1.6
"logged sex",0.525,2.41
"logged sex",0.55,2.18
"logged sex",0.575,2
"logged sex",0.6,1.87
"logged sex",0.625,2.09
"logged sex",0.65,1.87
"logged sex",0.675,2.09
"logged sex",0.7,1.92
"logged sex",0.725,2.05
"logged sex",0.75,2.18
"logged sex",0.775,2.15
"logged sex",0.8,2.24
"logged sex",0.825,2.3
"logged sex",0.85,3.03
"logged sex",0.875,2.51
"logged sex",0.9,3.34
"logged sex",0.925,5.14
"logged sex",0.95,3.21
"logged sex",0.975,6.14
"logged sex",1,28.54
