"tracking_freq","Conception-with sex intercourse","Conception-without sex intercourse","Observation-with sex intercourse","Observation-without sex intercourse","Contraception-with sex intercourse","Contraception-without sex intercourse","Accept what comes-with sex intercourse","Accept what comes-without sex intercourse"
0,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0
0.075,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0
0.125,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0
0.175,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0
0.225,0,0,0,0,0,0.0001000200040008,0,0
0.25,0,0,0,0,0,0,0,0
0.275,0,0,0,0,0,0.0001000200040008,0,0
0.3,0,0,0,0,0.000110784911095109,0.0002000400080016,0,0
0.325,0.000212494687632809,0.00258064516129032,0,0,0.000166177366642663,0.0012002400480096,0,0
0.35,0.000212494687632809,0.00258064516129032,0.000598086124401914,0.000350262697022767,0.000332354733285327,0.0019003800760152,0.000722021660649819,0.0025
0.375,0,0.00129032258064516,0,0,0.000443139644380435,0.00430086017203441,0.00433212996389892,0
0.4,0.00106247343816405,0.00774193548387097,0.000598086124401914,0.000700525394045534,0.00116324156649864,0.00620124024804961,0.00144404332129964,0.01
0.425,0.000424989375265618,0.00774193548387097,0.00119617224880383,0.00280210157618214,0.00216030576635462,0.00950190038007601,0.00288808664259928,0.0075
0.45,0.00148746281342966,0.00516129032258065,0,0.00665499124343257,0.00216030576635462,0.017003400680136,0.00866425992779783,0.0325
0.475,0.00446238844028899,0.0154838709677419,0.00119617224880383,0.0101576182136602,0.00526228327701767,0.0207041408281656,0.0108303249097473,0.035
0.5,0.00276243093922652,0.0141935483870968,0.00119617224880383,0.0108581436077058,0.00459757381044702,0.0189037807561512,0.00216606498194946,0.015
0.525,0.00573735656608585,0.0348387096774194,0.00657894736842105,0.0161120840630473,0.00958289480972692,0.0360072014402881,0.0144404332129964,0.035
0.55,0.00722481937951551,0.032258064516129,0.0101674641148325,0.021015761821366,0.0136265440646984,0.0448089617923585,0.0129963898916968,0.03
0.575,0.0112622184445389,0.0283870967741936,0.0107655502392345,0.0199649737302977,0.0166177366642663,0.0449089817963593,0.0194945848375451,0.03
0.6,0.0114747131321717,0.0361290322580645,0.0101674641148325,0.0217162872154116,0.0194427518971916,0.0486097219443889,0.0187725631768953,0.03
0.625,0.0148746281342966,0.0335483870967742,0.013755980861244,0.030122591943958,0.0280839749626101,0.0547109421884377,0.0339350180505415,0.03
0.65,0.0140246493837654,0.0361290322580645,0.0161483253588517,0.0350262697022767,0.0300227109067745,0.0556111222244449,0.0223826714801444,0.0325
0.675,0.0218869528261793,0.032258064516129,0.0269138755980861,0.0371278458844133,0.0409904171051903,0.0674134826965393,0.0252707581227437,0.0725
0.7,0.023374415639609,0.0270967741935484,0.0239234449760766,0.0413309982486865,0.0413227718384756,0.0551110222044409,0.0332129963898917,0.0625
0.725,0.0261368465788355,0.0464516129032258,0.0334928229665072,0.051138353765324,0.0474159419487066,0.0578115623124625,0.0433212996389892,0.06
0.75,0.0310242243943901,0.0412903225806452,0.0328947368421053,0.0490367775831874,0.0501855647260843,0.0513102620524105,0.0469314079422383,0.0525
0.775,0.0240118997025074,0.0258064516129032,0.0436602870813397,0.0476357267950963,0.049853209992799,0.0399079815963193,0.0404332129963899,0.05
0.8,0.0254993625159371,0.0335483870967742,0.0460526315789474,0.0427320490367776,0.0496316401706088,0.0345069013802761,0.059927797833935,0.0325
0.825,0.0320866978325542,0.0283870967741936,0.0424641148325359,0.0427320490367776,0.0461419154711128,0.0304060812162432,0.0469314079422383,0.04
0.85,0.042286442838929,0.0387096774193548,0.0502392344497608,0.0479859894921191,0.0574973688583615,0.0371074214842969,0.0469314079422383,0.045
0.875,0.0297492562685933,0.04,0.0472488038277512,0.0437828371278459,0.0421536586716889,0.0249049809961992,0.0375451263537906,0.0425
0.9,0.0437739056523587,0.0335483870967742,0.041866028708134,0.0392294220665499,0.0501301722705368,0.0244048809761952,0.0447653429602888,0.0375
0.925,0.0688482787930302,0.0580645161290323,0.0687799043062201,0.0605954465849387,0.0639228937018778,0.0371074214842969,0.0707581227436823,0.03
0.95,0.0486612834679133,0.0387096774193548,0.0520334928229665,0.0374781085814361,0.0357835262837202,0.0226045209041808,0.0259927797833935,0.025
0.975,0.0796855078623034,0.0309677419354839,0.0723684210526316,0.0476357267950963,0.0584390406026699,0.0269053810762152,0.0570397111913357,0.03
1,0.427751806204845,0.267096774193548,0.345693779904306,0.236077057793345,0.232759098210824,0.125725145029006,0.267870036101083,0.13
