"","tracking_freq","fraction_of_cycles"
"1",0.0125,0
"2",0.0375,0
"3",0.0625,0
"4",0.0875,0
"5",0.1125,0
"6",0.1375,0
"7",0.1625,0
"8",0.1875,0
"9",0.2125,0
"10",0.2375,0
"11",0.2625,0
"12",0.2875,0
"13",0.3125,0
"14",0.3375,0.000424989375265618
"15",0.3625,0
"16",0.3875,0.000212494687632809
"17",0.4125,0.00106247343816405
"18",0.4375,0.00148746281342966
"19",0.4625,0.00318742031449214
"20",0.4875,0.00424989375265618
"21",0.5125,0.00318742031449214
"22",0.5375,0.00424989375265618
"23",0.5625,0.0104122396940077
"24",0.5875,0.0125371865703357
"25",0.6125,0.0129621759456014
"26",0.6375,0.0152996175095623
"27",0.6625,0.0157246068848279
"28",0.6875,0.0237994050148746
"29",0.7125,0.027836804079898
"30",0.7375,0.0308117297067573
"31",0.7625,0.0240118997025074
"32",0.7875,0.0257118572035699
"33",0.8125,0.0261368465788355
"34",0.8375,0.0354866128346791
"35",0.8625,0.0395240118997025
"36",0.8875,0.041223969400765
"37",0.9125,0.0361240968975776
"38",0.9375,0.0609859753506162
"39",0.9625,0.110072248193795
"40",0.9875,0.433276668083298
