"uncertainties","fraction_of_cycles"
0,0
0.1,1.91129306621101e-05
0.2,0.00028287137379923
0.3,0.00172398634572233
0.4,0.00538602386058264
0.5,0.0136504550788791
0.6,0.0256629320000153
0.7,0.0342484604534352
0.8,0.0388374751054078
0.9,0.0413699384181374
1,0.041501817639706
1.1,0.0398638394819631
1.2,0.0382258613242203
1.3,0.0360068500743493
1.4,0.0338700244263254
1.5,0.0318058279148175
1.6,0.0303991162180862
1.7,0.0282986051383203
1.8,0.0266548931013788
1.9,0.0251774635611977
2,0.0220697010355386
2.1,0.0219244427625065
2.2,0.0205005294281793
2.3,0.0178132513770867
2.4,0.0172666215601503
2.5,0.0174730412113011
2.6,0.0155617481450901
2.7,0.0139314151596121
2.8,0.0134822612890525
2.9,0.0146481500594412
3,0.0128113974228124
3.1,0.0117429845988005
3.2,0.0118117911491841
3.3,0.0122762353642733
3.4,0.0124406065679675
3.5,0.0102904018684801
3.6,0.0116283070148278
3.7,0.0116512425316223
3.8,0.011104612714686
3.9,0.0117525410641315
4,0.01054269255322
4.1,0.0136370760274156
4.2,0.0106688378955899
4.3,0.0125323486351456
4.4,0.01121355641946
4.5,0.0129260750067851
4.6,0.0109345076317932
4.7,0.0113836615023528
4.8,0.0102693776447518
4.9,0.0106803056539871
5,0.00899263387652282
5.1,0.00884737560349079
5.2,0.00779234183094231
5.3,0.00775029338348566
5.4,0.00635887203128404
5.5,0.00627286384330455
5.6,0.00493686999002305
5.7,0.00484512792284492
5.8,0.00358367449914565
5.9,0.0041819092288697
6,0.00328551278081673
6.1,0.00286120572011789
6.2,0.00281724597959504
6.3,0.00244454383168389
6.4,0.00207566426990516
6.5,0.00193613987607176
6.6,0.00161122005481589
6.7,0.00162077652014694
6.8,0.00129203411275865
6.9,0.00135128419781119
7,0.00103400954882016
7.1,0.00114295325359419
7.2,0.000959469119237929
7.3,0.000831412483801791
7.4,0.000743493002756085
7.5,0.000739670416623663
7.6,0.000630726711849635
7.7,0.000670863866240066
7.8,0.000548541110002561
7.9,0.000468266801221699
8,0.000443419991360955
8.1,0.000460621628956854
8.2,0.000420484474566423
8.3,0.000407105423102946
8.4,0.000344032751917983
8.5,0.000368879561778726
8.6,0.000363145682580093
8.7,0.000323008528189661
8.8,0.000292427839130285
8.9,0.000290516546064074
9,0.000237000340210166
9.1,0.000204508358084579
9.2,0.000185395427422468
9.3,0.000177750255157624
9.4,0.000124234049303716
9.5,0.000166282496760358
9.6,0.000129967928502349
9.7,0.000108943704774028
9.8,0.000139524393833404
9.9,0.000107032411707817
10,0.000101298532509184
