"uncertainties","fraction_of_cycles"
0,0
0.05,0
0.1,0
0.15,0.00451173049929818
0.2,0.0145377982755163
0.25,0.0315821134950872
0.3,0.0862241828754763
0.35,0.152396230198516
0.4,0.265189492680971
0.45,0.415079205935432
0.5,0.660216563063966
0.55,0.937938640465209
0.6,1.13194305193503
0.65,1.2728093041909
0.7,1.27631842791257
0.75,1.23120112291959
0.8,1.1810707840385
0.85,1.12392219771406
0.9,1.0296771606176
0.95,0.948967315019051
1,0.844696210146378
1.05,0.760477240826147
1.1,0.674253057950671
1.15,0.583517144575897
1.2,0.529376378584321
1.25,0.484259073591337
1.3,0.414577902546621
1.35,0.361941046721476
1.4,0.328353719671145
1.45,0.284239021455786
1.5,0.263184279125727
1.55,0.228594345297774
1.6,0.20403047924604
1.65,0.191497894525767
1.7,0.153900140364949
1.75,0.156406657309003
1.8,0.128333667535592
1.85,0.125827150591538
1.9,0.0997593743733707
1.95,0.0982554642069384
2,0.0792059354321231
2.05,0.0721876879887711
2.1,0.0827150591538002
2.15,0.0696811710447159
2.2,0.0631642269901747
2.25,0.0566472829356323
2.3,0.0511329456587128
2.35,0.0491277321034688
2.4,0.0466212151594146
2.45,0.0406055744936837
2.5,0.0411068778824943
2.55,0.0230599558853019
2.6,0.0386003609384397
2.65,0.0320834168838982
2.7,0.0260677762181673
2.75,0.0285742931622216
2.8,0.0260677762181673
2.85,0.0215560457188689
2.9,0.0200521355524364
2.95,0.0185482253860037
3,0.0205534389412471
3.05,0.0175456186083819
3.1,0.0165430118307599
3.15,0.01654301183076
3.2,0.0130338881090837
3.25,0.0135351914978945
3.3,0.0130338881090837
3.35,0.0125325847202726
3.4,0.0155404050531382
3.45,0.0105273711650291
3.5,0.0085221576097854
3.55,0.00701824744335274
3.6,0.0100260677762181
3.65,0.00902346099859638
3.7,0.0125325847202728
3.75,0.00751955083216359
3.8,0.00701824744335274
3.85,0.0110286745538399
3.9,0.00651694405454183
3.95,0.00551433727692001
4,0.00551433727692006
4.05,0.00651694405454172
4.1,0.0050130338881091
4.15,0.00802085422097456
4.2,0.00902346099859638
4.25,0.00451173049929819
4.3,0.00401042711048721
4.35,0.00601564066573092
4.4,0.00551433727692001
4.45,0.00952476438740729
4.5,0.00401042711048728
4.55,0.00350912372167631
4.6,0.00601564066573092
4.65,0.00401042711048728
4.7,0.00401042711048728
4.75,0.00501303388810901
4.8,0.00451173049929819
4.85,0.00200521355524364
4.9,0.00300782033286546
4.95,0.00250651694405455
5,0.00300782033286541
5.05,0.00200521355524364
5.1,0.00250651694405455
5.15,0.00150391016643273
5.2,0.00250651694405455
5.25,0.0015039101664327
5.3,0.00200521355524364
5.35,0.00250651694405455
5.4,0
5.45,0.00050130338881091
5.5,0.00200521355524361
5.55,0.00250651694405455
5.6,0.00250651694405455
5.65,0.00250651694405455
5.7,0.00050130338881091
5.75,0.000501303388810901
5.8,0.00200521355524364
5.85,0.00150391016643273
5.9,0.00150391016643273
5.95,0.00150391016643273
6,0.00200521355524361
6.05,0.00150391016643273
6.1,0
6.15,0.00200521355524364
6.2,0.00100260677762182
6.25,0.0015039101664327
6.3,0.00250651694405455
6.35,0.00050130338881091
6.4,0.00100260677762182
6.45,0.00250651694405455
6.5,0.0010026067776218
6.55,0.00200521355524364
6.6,0.00100260677762182
6.65,0.00050130338881091
6.7,0.00050130338881091
6.75,0.0010026067776218
6.8,0.00250651694405455
6.85,0.00050130338881091
6.9,0.00050130338881091
6.95,0.00050130338881091
7,0.000501303388810901
7.05,0.00050130338881091
7.1,0.00050130338881091
7.15,0
7.2,0.00050130338881091
7.25,0
7.3,0
7.35,0.00050130338881091
7.4,0.00150391016643273
7.45,0
7.5,0
7.55,0.00100260677762182
7.6,0
7.65,0.00100260677762182
7.7,0
7.75,0.000501303388810901
7.8,0.00100260677762182
7.85,0.00050130338881091
7.9,0.00050130338881091
7.95,0.00100260677762182
8,0.000501303388810901
8.05,0.00100260677762184
8.1,0
8.15,0
8.2,0.00100260677762184
8.25,0.000501303388810901
8.3,0.000501303388810919
8.35,0
8.4,0
8.45,0
8.5,0
8.55,0
8.6,0
8.65,0
8.7,0.000501303388810919
8.75,0
8.8,0
8.85,0.000501303388810901
8.9,0
8.95,0.00100260677762184
9,0.000501303388810901
9.05,0.000501303388810919
9.1,0
9.15,0
9.2,0
9.25,0
9.3,0.000501303388810919
9.35,0
9.4,0
9.45,0.00100260677762184
9.5,0
9.55,0.000501303388810901
9.6,0
9.65,0.0010026067776218
9.7,0
9.75,0.000501303388810901
9.8,0
9.85,0
9.9,0
9.95,0
10,0.000501303388810901
10.05,0
10.1,0.000501303388810919
10.15,0
10.2,0
10.25,0.0010026067776218
10.3,0
10.35,0
10.4,0
10.45,0.00150391016643276
10.5,0.000501303388810901
10.55,0.000501303388810901
10.6,0
10.65,0
10.7,0
10.75,0.000501303388810901
10.8,0
10.85,0.000501303388810919
10.9,0.0010026067776218
10.95,0
11,0
11.05,0
11.1,0
11.15,0
11.2,0
11.25,0
11.3,0
11.35,0
11.4,0.000501303388810901
11.45,0
11.5,0.000501303388810901
11.55,0
11.6,0
11.65,0
11.7,0.000501303388810919
11.75,0
11.8,0
11.85,0
11.9,0
11.95,0
12,0
12.05,0
12.1,0.00100260677762184
12.15,0
12.2,0
12.25,0
12.3,0.000501303388810901
12.35,0
12.4,0
12.45,0.000501303388810919
12.5,0.000501303388810901
12.55,0
12.6,0
12.65,0
12.7,0
12.75,0
12.8,0.000501303388810901
12.85,0
12.9,0
12.95,0
13,0
13.05,0
13.1,0
13.15,0
13.2,0
13.25,0
13.3,0
13.35,0
13.4,0
13.45,0.000501303388810919
13.5,0
13.55,0.000501303388810901
13.6,0.000501303388810919
13.65,0
13.7,0
13.75,0
13.8,0
13.85,0.000501303388810919
13.9,0
13.95,0
14,0.000501303388810901
14.05,0
14.1,0
14.15,0
14.2,0
14.25,0
14.3,0
14.35,0
14.4,0
14.45,0
14.5,0
14.55,0
14.6,0
14.65,0
14.7,0
14.75,0
14.8,0.000501303388810901
14.85,0
14.9,0
14.95,0
15,0
15.05,0
15.1,0
15.15,0
15.2,0
15.25,0
15.3,0
15.35,0
15.4,0
15.45,0.000501303388810919
15.5,0
15.55,0
15.6,0
15.65,0
15.7,0
15.75,0
15.8,0
15.85,0
15.9,0
15.95,0
16,0
16.05,0
16.1,0
16.15,0
16.2,0.000501303388810901
16.25,0
16.3,0
16.35,0
16.4,0
16.45,0
16.5,0
16.55,0
16.6,0
16.65,0
16.7,0
16.75,0
16.8,0
16.85,0
16.9,0
16.95,0
17,0.000501303388810901
17.05,0
17.1,0
17.15,0
17.2,0
17.25,0
17.3,0
17.35,0
17.4,0
17.45,0
17.5,0
17.55,0
17.6,0
17.65,0
17.7,0
17.75,0
17.8,0
17.85,0
17.9,0
17.95,0
18,0
18.05,0
18.1,0
18.15,0.000501303388810937
18.2,0
18.25,0.000501303388810901
18.3,0
18.35,0
18.4,0
18.45,0
18.5,0
18.55,0
18.6,0
18.65,0
18.7,0
18.75,0
18.8,0
18.85,0
18.9,0
18.95,0
19,0
19.05,0
19.1,0
19.15,0
19.2,0
19.25,0
19.3,0
19.35,0
19.4,0
19.45,0
19.5,0
19.55,0
19.6,0
19.65,0
19.7,0
19.75,0
19.8,0
19.85,0
19.9,0
19.95,0
20,0
