"","NA","No","s1","s2","s3","c1","c2","c3","e1","e2","e3","w1","w2","w3","end"
"hM",0.333,0.267,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0
"lM",0.333,0.267,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0
"lE",0.182,0.182,0.073,0.036,0.018,0.145,0.127,0.091,0.036,0.018,0.018,0.036,0.018,0.018,0
"hE",0.043,0.043,0.014,0.014,0.014,0.029,0.043,0.058,0.116,0.13,0.145,0.116,0.116,0.116,0
"O",0.034,0.034,0.056,0.067,0.079,0.011,0.022,0.022,0.112,0.112,0.112,0.112,0.112,0.112,0
"Rise",0.043,0.071,0.1,0.1,0.1,0.029,0.029,0.043,0.1,0.1,0.086,0.086,0.071,0.043,0
"hP",0.14,0.14,0.14,0.105,0.053,0.105,0.123,0.088,0.018,0.018,0.018,0.018,0.018,0.018,0
"Ep",0.125,0.125,0.167,0.062,0.021,0.104,0.104,0.104,0.042,0.042,0.021,0.042,0.021,0.021,0
"lP",0.244,0.244,0.073,0.049,0.024,0.098,0.073,0.049,0.024,0.024,0.024,0.024,0.024,0.024,0
"end",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
